order_id,customer_id,product_id,gift_card_id,payment_method,quantity,order_timestamp,payment_timestamp,order_status,shipment_id
ORD-0085,01HQZS38X281N3C89KS61H3ZVS,4163-cos-4183,NA,Debit Card,1,2024-02-10T00:00:00Z,2024-02-11T08:00:00Z,Out for Delivery,SHIP00229
ORD-0086,01HQZS3AB446YGT89H89T4ZW63,2179-kqi-1903,NA,Credit Card,2,2024-02-11T00:00:00Z,2024-02-12T00:00:00Z,Cancelled,NA
ORD-0087,01HQZS38ZKM98M99APTJ277HG7,9825-oll-3303,NA,Credit Card,4,2024-02-15T00:00:00Z,2024-02-15T22:00:00Z,Cancelled,NA
ORD-0088,01HQZS39D985AD55EZ746WF0QR,2746-qzu-7414,NA,NA,1,2024-02-28T00:00:00Z,2024-02-29T14:00:00Z,Pending Payment,NA
ORD-0089,01HQZS38XY89ACWNM9CFSDD5YJ,2128-nbv-7952,NA,PayPal,4,2024-02-22T00:00:00Z,2024-02-22T23:00:00Z,Cancelled,NA
ORD-0090,01HQZS38QX5VBYYWBPF6S7NRQY,6972-vrt-0892,NA,Debit Card,5,2024-02-18T00:00:00Z,2024-02-18T15:00:00Z,Delivered,SHIP00111
ORD-0091,01HQZS38YBSDA3RJ0RT9AT3AA7,5907-img-0199,a99a01da-c4d2-4c4e-927e-1734df0bce6a,Gift Card,3,2024-02-13T00:00:00Z,2024-02-13T09:00:00Z,Delivered,SHIP00296
ORD-0092,01HQZS38XY89ACWNM9CFSDD5YJ,0125-sqt-6811,NA,PayPal,2,2024-02-10T00:00:00Z,2024-02-12T03:00:00Z,Cancelled,NA
ORD-0093,01HQZS39NWNM280ZX4PTT0SFT4,3700-yod-2141,NA,PayPal,5,2024-02-19T00:00:00Z,2024-02-21T22:00:00Z,Processing,SHIP00611
ORD-0094,01HQZS3AEAY0505E0S36TJ2FXV,2583-nlk-0805,NA,Debit Card,5,2024-02-02T00:00:00Z,2024-02-02T04:00:00Z,Cancelled,NA
ORD-0095,01HQZS38RM856ZNM5P617RFM0W,6331-fmm-8857,NA,NA,3,2024-02-29T00:00:00Z,2024-03-01T17:00:00Z,Pending Payment,NA
ORD-0096,01HQZS3ADAR9Z4QW94SJCE7WGJ,2583-nlk-0805,NA,Credit Card,2,2024-02-03T00:00:00Z,2024-02-04T15:00:00Z,Processing,SHIP00929
ORD-0097,01HQZS3ADQEN81VBF6DPCQ4K19,9639-sot-9274,NA,Debit Card,1,2024-02-23T00:00:00Z,2024-02-23T12:00:00Z,Cancelled,NA
ORD-0098,01HQZS3A5R7JWXW3Y842KDXXS1,4919-dit-2935,NA,NA,3,2024-02-22T00:00:00Z,2024-02-24T22:00:00Z,Pending Payment,NA
ORD-0099,01HQZS39R51SVV41TZN1PHCRB4,2179-kqi-1903,NA,PayPal,2,2024-02-21T00:00:00Z,2024-02-21T11:00:00Z,Delivered,SHIP00644
ORD-0100,01HQZS38WEDQXH6AW7MBAW6TFZ,7197-oxg-8083,NA,Credit Card,1,2024-02-17T00:00:00Z,2024-02-17T09:00:00Z,Cancelled,NA
ORD-0101,01HQZS3A8D921V4PC8R1SCNXXA,3835-may-3630,NA,Debit Card,1,2024-02-09T00:00:00Z,2024-02-10T04:00:00Z,Shipped,SHIP00771
ORD-0102,01HQZS3AAYMQZDY54ZYMZQ8GYS,0035-nrm-7502,NA,Credit Card,4,2024-02-04T00:00:00Z,2024-02-04T19:00:00Z,Shipped,SHIP00831
ORD-0103,01HQZS39CVXQAP4MFM5J52YAC2,4805-cpu-8275,26b4c868-9454-4348-814b-1f2e935a2af3,Gift Card,3,2024-02-05T00:00:00Z,2024-02-07T16:00:00Z,Delivered,SHIP00358
ORD-0104,01HQZS38Q41N1V3BRC4WVPCE8R,9609-hxq-6299,549fe87e-6629-4025-b78a-ffd5e51726b9,Gift Card,2,2024-02-28T00:00:00Z,2024-02-28T19:00:00Z,Out for Delivery,SHIP00067
ORD-0105,01HQZS39F451Z7XKPKDSFVC9XS,8415-qhe-4590,NA,Debit Card,3,2024-02-18T00:00:00Z,2024-02-18T02:00:00Z,Shipped,SHIP00493
ORD-0106,01HQZS3A6YSS03C1PYDB0JNFBA,9600-jzo-7284,NA,PayPal,4,2024-02-29T00:00:00Z,2024-03-02T09:00:00Z,Out for Delivery,SHIP00720
ORD-0107,01HQZS39EGQ1606P9RMN3PXQ0P,2627-kdl-2059,bcd61684-5aaa-41c9-b524-d63bdd9a6382,Gift Card,2,2024-02-14T00:00:00Z,2024-02-15T23:00:00Z,Out for Delivery,SHIP00487
ORD-0108,01HQZS3AE4QHXSTDGVP00FH952,9415-ujd-3311,NA,Credit Card,4,2024-02-12T00:00:00Z,2024-02-14T07:00:00Z,Delivered,SHIP00973
ORD-0109,01HQZS3A6YSS03C1PYDB0JNFBA,9468-tdt-5532,NA,PayPal,1,2024-02-18T00:00:00Z,2024-02-19T18:00:00Z,Delivered,SHIP00711
ORD-0110,01HQZS3AB1SQJB3H733WD5FQ67,2183-bnm-4747,2c046d7d-55a4-42df-af7b-fa8338500b0a,Gift Card,5,2024-02-18T00:00:00Z,2024-02-20T08:00:00Z,Cancelled,NA
ORD-0111,01HQZS3A7SBWQ5J00MDQBSQZVM,0168-sqp-9949,NA,Debit Card,3,2024-02-01T00:00:00Z,2024-02-03T07:00:00Z,Delivered,SHIP00741
ORD-0112,01HQZS3AAV5SECZ0ENAEW3B6M2,9574-brk-9651,8c726344-6950-49b4-af91-305135acfb2d,Gift Card,3,2024-02-23T00:00:00Z,2024-02-23T11:00:00Z,Delivered,SHIP00827
ORD-0113,01HQZS39E0N08BW659PGS5N72C,8415-qhe-4590,NA,NA,4,2024-02-12T00:00:00Z,2024-02-14T19:00:00Z,Pending Payment,NA
ORD-0114,01HQZS38SFBRSN3RB2RGW5RKQR,5813-uxb-8888,e67e9026-33e8-429d-8d51-50ad8dbc39bb,Gift Card,1,2024-02-15T00:00:00Z,2024-02-16T23:00:00Z,Shipped,SHIP00161
ORD-0115,01HQZS39NK41F0T57H37MHK116,3183-hlz-0188,9e52620f-ed1a-4f35-b0f1-85b40aed1e28,Gift Card,5,2024-02-09T00:00:00Z,2024-02-10T11:00:00Z,Shipped,SHIP00596
ORD-0116,01HQZS39E0N08BW659PGS5N72C,6211-swd-9194,c2867400-7204-4296-b48c-50f9a9b8fc8d,Gift Card,3,2024-02-07T00:00:00Z,2024-02-07T22:00:00Z,Cancelled,NA
ORD-0117,01HQZS39FXV177F4YW21JWZWXR,6809-rbv-8821,NA,NA,1,2024-02-17T00:00:00Z,2024-02-19T01:00:00Z,Pending Payment,NA
ORD-0118,01HQZS38ZKM98M99APTJ277HG7,5747-sbn-8882,NA,NA,3,2024-02-07T00:00:00Z,2024-02-09T01:00:00Z,Pending Payment,NA
ORD-0119,01HQZS3ADKTGF34K6XJEKBJCAP,4679-svc-8606,NA,PayPal,1,2024-02-25T00:00:00Z,2024-02-26T02:00:00Z,Out for Delivery,SHIP00940
ORD-0120,01HQZS3A8D921V4PC8R1SCNXXA,1478-dkc-7267,NA,Credit Card,1,2024-02-19T00:00:00Z,2024-02-21T16:00:00Z,Processing,SHIP00769
ORD-0121,01HQZS38WG8S1THR49J3J5XZ8S,3506-ltd-9892,NA,NA,3,2024-02-16T00:00:00Z,2024-02-17T19:00:00Z,Pending Payment,NA
ORD-0122,01HQZS3AB446YGT89H89T4ZW63,8716-cfp-4500,NA,Debit Card,3,2024-02-01T00:00:00Z,2024-02-03T23:00:00Z,Delivered,SHIP00850
ORD-0123,01HQZS38PMDVKB1S9SK6ZAJ6GG,4895-nnr-6380,NA,Credit Card,3,2024-02-17T00:00:00Z,2024-02-17T18:00:00Z,Processing,SHIP00054
ORD-0124,01HQZS3ADAR9Z4QW94SJCE7WGJ,3700-yod-2141,NA,NA,4,2024-02-18T00:00:00Z,2024-02-18T19:00:00Z,Pending Payment,NA
ORD-0125,01HQZS3A8D921V4PC8R1SCNXXA,9897-mvb-8129,faa9fd35-0505-47f5-b1ce-67abd74a9b5c,Gift Card,4,2024-02-13T00:00:00Z,2024-02-14T03:00:00Z,Delivered,SHIP00772
ORD-0126,01HQZS38WEDQXH6AW7MBAW6TFZ,3183-hlz-0188,NA,Debit Card,4,2024-02-18T00:00:00Z,2024-02-21T00:00:00Z,Out for Delivery,SHIP00207
ORD-0127,01HQZS38X6AS3MVQ7D55XBCRWH,1331-rzp-6435,NA,PayPal,1,2024-02-27T00:00:00Z,2024-02-29T23:00:00Z,Delivered,SHIP00250
ORD-0128,01HQZS38Z5N9EWH13VYQJ8BK9X,1331-rzp-6435,NA,Debit Card,1,2024-02-19T00:00:00Z,2024-02-20T05:00:00Z,Processing,SHIP00307
ORD-0129,01HQZS38PMDVKB1S9SK6ZAJ6GG,9415-ujd-3311,NA,PayPal,3,2024-02-06T00:00:00Z,2024-02-06T22:00:00Z,Shipped,SHIP00048
ORD-0130,01HQZS38XFN9XMV488HRR2PRNZ,6122-rto-7326,e2645552-3409-4cdb-9645-f2a759d64752,Gift Card,1,2024-02-05T00:00:00Z,2024-02-07T06:00:00Z,Cancelled,NA
ORD-0131,01HQZS39DJSQHXNYSYEYA1V1BF,6895-qwg-9407,NA,PayPal,2,2024-02-23T00:00:00Z,2024-02-24T00:00:00Z,Cancelled,NA
ORD-0132,01HQZS38NFAMVH5N51426R4G37,6331-fmm-8857,d3c1b614-8a6c-488e-b036-159989e85277,Gift Card,3,2024-02-23T00:00:00Z,2024-02-25T23:00:00Z,Processing,SHIP00034
ORD-0133,01HQZS3A5AB1WWWYK9Q2KPHERF,0981-nix-4408,NA,Debit Card,1,2024-02-21T00:00:00Z,2024-02-22T21:00:00Z,Delivered,SHIP00668
ORD-0134,01HQZS38S6V458Z042MDVYJ59D,5534-fql-1567,NA,PayPal,5,2024-02-18T00:00:00Z,2024-02-20T15:00:00Z,Out for Delivery,SHIP00149
ORD-0135,01HQZS38WG8S1THR49J3J5XZ8S,7725-oen-4925,da04b6e6-78aa-4d45-86ed-2c013b1fc1f2,Gift Card,3,2024-02-21T00:00:00Z,2024-02-22T03:00:00Z,Processing,SHIP00219
ORD-0136,01HQZS38Z5N9EWH13VYQJ8BK9X,5801-dny-6002,NA,Credit Card,5,2024-02-28T00:00:00Z,2024-02-28T11:00:00Z,Cancelled,NA
ORD-0137,01HQZS38VP866REFGWD7JVN2RY,6122-rto-7326,NA,Credit Card,2,2024-02-28T00:00:00Z,2024-03-01T17:00:00Z,Cancelled,NA
ORD-0138,01HQZS39GFTYRBKGJZNARZ00QY,3835-may-3630,d14158ef-5c91-49c1-8d2f-fa36689c2bf8,Gift Card,1,2024-02-08T00:00:00Z,2024-02-09T05:00:00Z,Delivered,SHIP00533
ORD-0139,01HQZS3A72WHNQVT800NKTXQ6S,1977-jsl-6327,NA,Debit Card,1,2024-02-27T00:00:00Z,2024-02-27T21:00:00Z,Delivered,SHIP00738
ORD-0140,01HQZS39C4CP9WYFXBCMDF1MFP,9825-oll-3303,NA,Debit Card,2,2024-02-14T00:00:00Z,2024-02-14T23:00:00Z,Cancelled,NA
