shipment_id,dispatch_timestamp,delivered_timestamp,status
SHIP00580,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00150,NA,NA,Ready for Dispatch
SHIP00687,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00844,2024-03-15T00:00:00Z,NA,In Transit
SHIP00846,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00383,2024-03-15T00:00:00Z,NA,In Transit
SHIP00798,2024-03-15T00:00:00Z,NA,In Transit
SHIP00484,NA,NA,Ready for Dispatch
SHIP00328,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00025,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00660,2024-03-15T00:00:00Z,NA,In Transit
SHIP00234,2024-02-11T00:00:00Z,2024-02-16T00:00:00Z,Delivered
SHIP00499,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00876,NA,NA,Ready for Dispatch
SHIP00303,2024-03-15T00:00:00Z,NA,In Transit
SHIP00229,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00111,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00296,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00611,NA,NA,Ready for Dispatch
SHIP00929,NA,NA,Ready for Dispatch
SHIP00644,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00771,2024-03-15T00:00:00Z,NA,In Transit
SHIP00831,2024-03-15T00:00:00Z,NA,In Transit
SHIP00358,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00067,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00493,2024-03-15T00:00:00Z,NA,In Transit
SHIP00720,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00487,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00973,2024-02-12T00:00:00Z,2024-02-17T00:00:00Z,Delivered
SHIP00711,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00741,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00827,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00161,2024-03-15T00:00:00Z,NA,In Transit
SHIP00596,2024-03-15T00:00:00Z,NA,In Transit
SHIP00940,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00769,NA,NA,Ready for Dispatch
SHIP00850,2024-02-01T00:00:00Z,2024-02-06T00:00:00Z,Delivered
SHIP00054,NA,NA,Ready for Dispatch
SHIP00772,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00207,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00250,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00307,NA,NA,Ready for Dispatch
SHIP00048,2024-03-15T00:00:00Z,NA,In Transit
SHIP00034,NA,NA,Ready for Dispatch
SHIP00668,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00149,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00219,NA,NA,Ready for Dispatch
SHIP00533,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00738,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00873,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00376,2024-03-15T00:00:00Z,NA,In Transit
SHIP00528,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00895,NA,NA,Ready for Dispatch
SHIP00076,NA,NA,Ready for Dispatch
SHIP00975,2024-03-15T00:00:00Z,NA,In Transit
SHIP00754,2024-03-15T00:00:00Z,NA,In Transit
SHIP00544,2024-03-15T00:00:00Z,NA,In Transit
SHIP00382,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00652,2024-03-15T00:00:00Z,NA,In Transit
SHIP00004,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00284,2024-03-15T00:00:00Z,NA,In Transit
SHIP00143,2024-02-08T00:00:00Z,2024-02-13T00:00:00Z,Delivered
SHIP00865,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00731,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00463,NA,NA,Ready for Dispatch
SHIP00926,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00343,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00504,2024-02-12T00:00:00Z,2024-02-17T00:00:00Z,Delivered
SHIP00198,2024-03-15T00:00:00Z,NA,In Transit
SHIP00476,2024-03-15T00:00:00Z,NA,In Transit
SHIP00420,NA,NA,Ready for Dispatch
SHIP00568,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00824,2024-03-15T00:00:00Z,NA,In Transit
SHIP00444,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00835,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00632,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00757,2024-03-15T00:00:00Z,NA,In Transit
SHIP00450,2024-03-15T00:00:00Z,NA,In Transit
SHIP00670,NA,NA,Ready for Dispatch
SHIP00696,2024-03-15T00:00:00Z,NA,In Transit
SHIP00435,2024-03-15T00:00:00Z,NA,In Transit
SHIP00298,2024-03-15T00:00:00Z,NA,In Transit
SHIP00347,2024-02-26T00:00:00Z,2024-03-02T00:00:00Z,Delivered
SHIP00437,NA,NA,Ready for Dispatch
SHIP00127,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00144,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00861,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00395,NA,NA,Ready for Dispatch
SHIP00386,2024-03-15T00:00:00Z,NA,In Transit
SHIP00092,NA,NA,Ready for Dispatch
SHIP00880,2024-03-15T00:00:00Z,NA,In Transit
SHIP00685,NA,NA,Ready for Dispatch
SHIP00803,NA,NA,Ready for Dispatch
SHIP00080,NA,NA,Ready for Dispatch
SHIP00564,NA,NA,Ready for Dispatch
SHIP00592,2024-03-15T00:00:00Z,NA,In Transit
SHIP00718,NA,NA,Ready for Dispatch
SHIP00600,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00519,NA,NA,Ready for Dispatch
SHIP00247,2024-03-15T00:00:00Z,NA,In Transit
SHIP00308,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00274,2024-03-15T00:00:00Z,NA,In Transit
SHIP00096,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00750,NA,NA,Ready for Dispatch
SHIP00099,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00502,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00849,NA,NA,Ready for Dispatch
SHIP00555,2024-03-15T00:00:00Z,NA,In Transit
SHIP00699,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00211,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00038,2024-03-15T00:00:00Z,NA,In Transit
SHIP00893,NA,NA,Ready for Dispatch
SHIP00563,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00795,NA,NA,Ready for Dispatch
SHIP00248,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00581,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00042,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00948,2024-02-08T00:00:00Z,2024-02-13T00:00:00Z,Delivered
SHIP00293,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00157,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00363,2024-02-22T00:00:00Z,2024-02-27T00:00:00Z,Delivered
SHIP00879,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00023,2024-03-15T00:00:00Z,NA,In Transit
SHIP00712,NA,NA,Ready for Dispatch
SHIP00968,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00033,2024-03-15T00:00:00Z,NA,In Transit
SHIP00237,NA,NA,Ready for Dispatch
SHIP00064,2024-03-15T00:00:00Z,NA,In Transit
SHIP00534,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00877,NA,NA,Ready for Dispatch
SHIP00838,2024-03-15T00:00:00Z,NA,In Transit
SHIP00164,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00421,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00292,2024-03-15T00:00:00Z,NA,In Transit
SHIP00044,2024-03-15T00:00:00Z,NA,In Transit
SHIP00672,2024-03-15T00:00:00Z,NA,In Transit
SHIP00472,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00153,NA,NA,Ready for Dispatch
SHIP00441,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00914,2024-03-15T00:00:00Z,NA,In Transit
SHIP00604,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00512,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00515,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00601,NA,NA,Ready for Dispatch
SHIP00673,2024-03-15T00:00:00Z,NA,In Transit
SHIP00807,NA,NA,Ready for Dispatch
SHIP00966,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00008,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00124,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00221,2024-03-15T00:00:00Z,NA,In Transit
SHIP00477,NA,NA,Ready for Dispatch
SHIP00645,2024-03-15T00:00:00Z,NA,In Transit
SHIP00801,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00355,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00605,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00747,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00121,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00410,2024-03-15T00:00:00Z,NA,In Transit
SHIP00586,NA,NA,Ready for Dispatch
SHIP00619,2024-03-15T00:00:00Z,NA,In Transit
SHIP00985,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00346,2024-03-15T00:00:00Z,NA,In Transit
SHIP00899,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00340,2024-03-15T00:00:00Z,NA,In Transit
SHIP00464,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00205,2024-03-15T00:00:00Z,NA,In Transit
SHIP00636,NA,NA,Ready for Dispatch
SHIP00086,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00584,2024-03-15T00:00:00Z,NA,In Transit
SHIP00949,NA,NA,Ready for Dispatch
SHIP00200,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00434,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00379,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00357,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00816,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00979,NA,NA,Ready for Dispatch
SHIP00191,2024-03-15T00:00:00Z,NA,In Transit
SHIP00793,NA,NA,Ready for Dispatch
SHIP00745,2024-02-01T00:00:00Z,2024-02-06T00:00:00Z,Delivered
SHIP00936,2024-03-15T00:00:00Z,NA,In Transit
SHIP00332,2024-03-15T00:00:00Z,NA,In Transit
SHIP00878,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00455,2024-03-15T00:00:00Z,NA,In Transit
SHIP00805,NA,NA,Ready for Dispatch
SHIP00790,NA,NA,Ready for Dispatch
SHIP00419,2024-03-15T00:00:00Z,NA,In Transit
SHIP00387,NA,NA,Ready for Dispatch
SHIP00412,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00964,2024-02-11T00:00:00Z,2024-02-16T00:00:00Z,Delivered
SHIP00245,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00125,NA,NA,Ready for Dispatch
SHIP00180,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00179,2024-03-15T00:00:00Z,NA,In Transit
SHIP00822,2024-03-15T00:00:00Z,NA,In Transit
SHIP00933,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00406,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00065,NA,NA,Ready for Dispatch
SHIP00377,2024-02-25T00:00:00Z,2024-03-01T00:00:00Z,Delivered
SHIP00724,NA,NA,Ready for Dispatch
SHIP00792,NA,NA,Ready for Dispatch
SHIP00608,2024-03-15T00:00:00Z,NA,In Transit
SHIP00802,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00107,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00005,2024-03-15T00:00:00Z,NA,In Transit
SHIP00173,NA,NA,Ready for Dispatch
SHIP00118,2024-03-15T00:00:00Z,NA,In Transit
SHIP00288,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00195,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00725,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00146,NA,NA,Ready for Dispatch
SHIP00352,NA,NA,Ready for Dispatch
SHIP00491,2024-03-15T00:00:00Z,NA,In Transit
SHIP00784,2024-03-15T00:00:00Z,NA,In Transit
SHIP00479,NA,NA,Ready for Dispatch
SHIP00510,NA,NA,Ready for Dispatch
SHIP00262,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00629,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00490,2024-03-15T00:00:00Z,NA,In Transit
SHIP00743,NA,NA,Ready for Dispatch
SHIP00456,NA,NA,Ready for Dispatch
SHIP00492,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00785,2024-03-15T00:00:00Z,NA,In Transit
SHIP00172,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00572,2024-03-15T00:00:00Z,NA,In Transit
SHIP00972,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00736,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00998,2024-03-15T00:00:00Z,NA,In Transit
SHIP00440,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00408,2024-02-06T00:00:00Z,2024-02-11T00:00:00Z,Delivered
SHIP00217,2024-02-08T00:00:00Z,2024-02-13T00:00:00Z,Delivered
SHIP00913,2024-03-15T00:00:00Z,NA,In Transit
SHIP00168,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00573,2024-02-10T00:00:00Z,2024-02-15T00:00:00Z,Delivered
SHIP00029,2024-03-15T00:00:00Z,NA,In Transit
SHIP00671,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00709,2024-03-15T00:00:00Z,NA,In Transit
SHIP00251,NA,NA,Ready for Dispatch
SHIP00702,NA,NA,Ready for Dispatch
SHIP00102,NA,NA,Ready for Dispatch
SHIP00956,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00749,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00812,NA,NA,Ready for Dispatch
SHIP00902,NA,NA,Ready for Dispatch
SHIP00961,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00258,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00654,2024-03-15T00:00:00Z,NA,In Transit
SHIP00868,2024-02-20T00:00:00Z,2024-02-25T00:00:00Z,Delivered
SHIP00266,NA,NA,Ready for Dispatch
SHIP00389,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00039,NA,NA,Ready for Dispatch
SHIP00350,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00939,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00089,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00232,NA,NA,Ready for Dispatch
SHIP00366,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00992,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00240,NA,NA,Ready for Dispatch
SHIP00503,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00199,2024-02-06T00:00:00Z,2024-02-11T00:00:00Z,Delivered
SHIP00378,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00582,2024-03-15T00:00:00Z,NA,In Transit
SHIP00448,NA,NA,Ready for Dispatch
SHIP00527,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00778,2024-03-15T00:00:00Z,NA,In Transit
SHIP00147,2024-03-15T00:00:00Z,NA,In Transit
SHIP00174,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00694,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00291,2024-03-15T00:00:00Z,NA,In Transit
SHIP00362,NA,NA,Ready for Dispatch
SHIP00471,2024-03-15T00:00:00Z,NA,In Transit
SHIP00574,2024-02-27T00:00:00Z,2024-03-03T00:00:00Z,Delivered
SHIP00594,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00788,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00105,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00426,2024-02-17T00:00:00Z,2024-02-22T00:00:00Z,Delivered
SHIP00591,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00368,2024-03-15T00:00:00Z,NA,In Transit
SHIP00598,2024-03-15T00:00:00Z,NA,In Transit
SHIP00451,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00765,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00669,NA,NA,Ready for Dispatch
SHIP00163,NA,NA,Ready for Dispatch
SHIP00016,NA,NA,Ready for Dispatch
SHIP00727,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00193,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00557,NA,NA,Ready for Dispatch
SHIP00678,2024-03-15T00:00:00Z,NA,In Transit
SHIP00683,NA,NA,Ready for Dispatch
SHIP00567,2024-02-24T00:00:00Z,2024-02-29T00:00:00Z,Delivered
SHIP00794,2024-03-15T00:00:00Z,NA,In Transit
SHIP00531,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00043,2024-03-15T00:00:00Z,NA,In Transit
SHIP00046,2024-03-15T00:00:00Z,NA,In Transit
SHIP00263,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00910,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00658,NA,NA,Ready for Dispatch
SHIP00737,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00454,NA,NA,Ready for Dispatch
SHIP00187,2024-03-15T00:00:00Z,NA,In Transit
SHIP00593,NA,NA,Ready for Dispatch
SHIP00473,2024-03-15T00:00:00Z,NA,In Transit
SHIP00056,2024-02-13T00:00:00Z,2024-02-18T00:00:00Z,Delivered
SHIP00583,NA,NA,Ready for Dispatch
SHIP00322,NA,NA,Ready for Dispatch
SHIP00021,2024-02-18T00:00:00Z,2024-02-23T00:00:00Z,Delivered
SHIP00276,NA,NA,Ready for Dispatch
SHIP00851,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00730,NA,NA,Ready for Dispatch
SHIP00967,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00482,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00470,NA,NA,Ready for Dispatch
SHIP00017,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00628,2024-03-15T00:00:00Z,NA,In Transit
SHIP00620,NA,NA,Ready for Dispatch
SHIP00392,2024-03-15T00:00:00Z,NA,In Transit
SHIP00186,2024-02-11T00:00:00Z,2024-02-16T00:00:00Z,Delivered
SHIP00764,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00682,NA,NA,Ready for Dispatch
SHIP00393,2024-02-12T00:00:00Z,2024-02-17T00:00:00Z,Delivered
SHIP00585,2024-03-15T00:00:00Z,NA,In Transit
SHIP00787,NA,NA,Ready for Dispatch
SHIP00845,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00931,2024-02-01T00:00:00Z,2024-02-06T00:00:00Z,Delivered
SHIP00318,NA,NA,Ready for Dispatch
SHIP00617,2024-03-15T00:00:00Z,NA,In Transit
SHIP00511,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00447,2024-03-15T00:00:00Z,NA,In Transit
SHIP00686,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00222,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00579,2024-03-15T00:00:00Z,NA,In Transit
SHIP00201,2024-03-15T00:00:00Z,NA,In Transit
SHIP00963,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00566,2024-03-15T00:00:00Z,NA,In Transit
SHIP00552,NA,NA,Ready for Dispatch
SHIP00883,2024-03-15T00:00:00Z,NA,In Transit
SHIP00996,NA,NA,Ready for Dispatch
SHIP00074,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00640,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00380,NA,NA,Ready for Dispatch
SHIP00311,NA,NA,Ready for Dispatch
SHIP00892,NA,NA,Ready for Dispatch
SHIP00858,NA,NA,Ready for Dispatch
SHIP00091,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00073,NA,NA,Ready for Dispatch
SHIP00001,2024-03-15T00:00:00Z,NA,In Transit
SHIP00789,NA,NA,Ready for Dispatch
SHIP00627,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00762,NA,NA,Ready for Dispatch
SHIP00114,NA,NA,Ready for Dispatch
SHIP00689,NA,NA,Ready for Dispatch
SHIP00401,2024-03-15T00:00:00Z,NA,In Transit
SHIP00074,2024-03-15T00:00:00Z,NA,In Transit
SHIP00554,2024-02-28T00:00:00Z,2024-03-04T00:00:00Z,Delivered
SHIP00970,NA,NA,Ready for Dispatch
SHIP00637,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00397,NA,NA,Ready for Dispatch
SHIP00011,2024-02-19T00:00:00Z,2024-02-24T00:00:00Z,Delivered
SHIP00625,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00707,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00755,NA,NA,Ready for Dispatch
SHIP00273,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00182,2024-02-09T00:00:00Z,2024-02-14T00:00:00Z,Delivered
SHIP00760,NA,NA,Ready for Dispatch
SHIP00050,2024-03-15T00:00:00Z,NA,In Transit
SHIP00994,2024-02-25T00:00:00Z,2024-03-01T00:00:00Z,Delivered
SHIP00443,NA,NA,Ready for Dispatch
SHIP00740,2024-03-15T00:00:00Z,NA,In Transit
SHIP00239,2024-02-07T00:00:00Z,2024-02-12T00:00:00Z,Delivered
SHIP00901,NA,NA,Ready for Dispatch
SHIP00830,2024-03-15T00:00:00Z,NA,In Transit
SHIP00094,2024-03-15T00:00:00Z,NA,In Transit
SHIP00112,2024-03-15T00:00:00Z,NA,In Transit
SHIP00063,2024-03-15T00:00:00Z,NA,In Transit
SHIP00674,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00373,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00338,NA,NA,Ready for Dispatch
SHIP00035,2024-02-08T00:00:00Z,2024-02-13T00:00:00Z,Delivered
SHIP00675,2024-03-15T00:00:00Z,NA,In Transit
SHIP00027,2024-03-15T00:00:00Z,NA,In Transit
SHIP00714,NA,NA,Ready for Dispatch
SHIP00800,2024-03-15T00:00:00Z,NA,In Transit
SHIP00469,2024-02-16T00:00:00Z,2024-02-21T00:00:00Z,Delivered
SHIP00075,2024-03-15T00:00:00Z,NA,In Transit
SHIP00517,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00641,NA,NA,Ready for Dispatch
SHIP00134,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00045,2024-02-01T00:00:00Z,2024-02-06T00:00:00Z,Delivered
SHIP00079,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00315,NA,NA,Ready for Dispatch
SHIP00612,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00175,NA,NA,Ready for Dispatch
SHIP00977,NA,NA,Ready for Dispatch
SHIP00003,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00916,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00505,NA,NA,Ready for Dispatch
